property_id,title,price,bedrooms,bathrooms,area_m2,property_type,status,updated_at,created_at
WdxtvSvveWQM8GTG7kW5,"Apartamento em Curitiba, no bairro Bairro Alto - Referência: 906 - Serra Dourada",517818.97,2,2,54.72,apartment,active,2025-10-01T21:52:22.974769+00:00,2025-10-01T21:52:22.87786+00:00
WWmavJSdHsSA7yzKnrYR,"Cobertura Duplex em Curitiba, no bairro Boqueirão - Referência: 401 - Naví Garcia",1018149.97,3,3,113.39,penthouse,active,2025-10-01T21:52:22.797568+00:00,2025-10-01T21:52:22.619504+00:00
WUD0qJ802AiI5jLzNU8W,Mansão de Alto Padrão à Venda em Santa Felicidade | 577 m² | Piscina e Vista para Natureza – R$ 8.200.000,8200000.0,7,6,577.0,apartment,active,2025-10-01T21:52:22.515163+00:00,2025-10-01T21:52:22.393919+00:00
WQNkKi6bBIdDy4gjkJo8,"Studio em Curitiba, no bairro Centro - Referência: 518 - MUV Residence",319718.57,1,1,20.45,apartment,active,2025-10-01T21:52:22.281153+00:00,2025-10-01T21:52:22.192403+00:00
WMKBGROh3SjzZoxJBt3d,"Garden em Curitiba, no bairro Ecoville - Referência: 101 - Terrasse L'Avenir",1270000.0,3,2,102.74,garden,active,2025-10-01T21:52:22.111881+00:00,2025-10-01T21:52:22.014754+00:00
WLhZ0KGjlf6LPDzHNvwb,"Apartamento em Curitiba, no bairro Vila Izabel - Referência: 705 - Easy Vila Izabel",360000.0,2,1,34.0,apartment,active,2025-10-01T21:52:21.942218+00:00,2025-10-01T21:52:21.804479+00:00
WKkksPiNTQxVGiz3Ady4,"Apartamento em Curitiba, no bairro Cabral - Referência: 201 - Máter",3062600.0,3,5,188.74,apartment,active,2025-10-01T21:52:21.755981+00:00,2025-10-01T21:52:21.667634+00:00
WBxBvHuPGiBLrYswKgMT,Temple Batel,1175600.0,1,1,40.24,apartment,active,2025-10-01T21:52:21.611404+00:00,2025-10-01T21:52:21.498761+00:00
WBDJ9ajNRD8KqjE3b5w9,"Apartamento com 2 dormitórios à venda, 73 m² por R$ 693.000 - Centro - Curitiba/PR",693000.0,2,2,73.35,apartment,active,2025-10-01T21:52:21.44242+00:00,2025-10-01T21:52:21.304458+00:00
W9x5Cc11gZgZSCPdNin8,"Cobertura duplex nova, à venda, 180,62 m² por R$ 1.488.000,00 - Ahú - Curitiba/PR",1488000.0,3,1,180.62,penthouse,active,2025-10-01T21:52:21.240091+00:00,2025-10-01T21:52:21.126098+00:00
W6iB87650ATddyIZMf33,Ébano Residencial,1328193.33,3,2,109.49,apartment,active,2025-10-01T21:52:21.069994+00:00,2025-10-01T21:52:20.973476+00:00
W6V9xYhcJdzxtYASvmYX,"Casa com 3 dormitórios sendo 1 suíte e 2 Demi-suítes, sacada com 4 vagas à venda, 225 m² privativo no Santo Inácio - Curitiba/PR.",1900000.0,3,3,225.0,house,active,2025-10-01T21:52:20.909014+00:00,2025-10-01T21:52:20.802128+00:00
W6B3feP6e1ghFqYjMpc5,"Apartamento em Curitiba, no bairro Ahú - Referência: 43 - Terrasse Lilas",1675000.0,3,3,125.22,apartment,active,2025-10-01T21:52:20.737517+00:00,2025-10-01T21:52:20.656513+00:00
